Sample_ID,Genepool,Genotype_ID,filename_GC,filename_LC_neg,filename_LC_pos
MD_11_1,MD,MD_11,19120oB_19,17_neg,17_pos
MD_11_2,MD,MD_11,,59_neg,59_pos
MD_11_3,MD,MD_11,,60_neg,60_pos
MD_12_4,MD,MD_12,19120oB_8,6_neg,6_pos
MD_12_5,MD,MD_12,,61_neg,61_pos
MD_12_6,MD,MD_12,,62_neg,62_pos
MD_14_7,MD,MD_14,19120oB_52,50_neg,50_pos
MD_14_8,MD,MD_14,,63_neg,63_pos
MD_14_9,MD,MD_14,,64_neg,64_pos
MD_15_10,MD,MD_15,19120oB_13,11_neg,11_pos
MD_15_11,MD,MD_15,19120oB_39,37_neg,37_pos
MD_15_12,MD,MD_15,,65_neg,65_pos
MD_16_13,MD,MD_16,19120oB_21,19_neg,19_pos
MD_16_14,MD,MD_16,,66_neg,66_pos
MD_16_15,MD,MD_16,19120oB_11,9_neg,9_pos
MD_17_16,MD,MD_17,19120oB_14,12_neg,12_pos
MD_17_17,MD,MD_17,19120oB_15,13_neg,13_pos
MD_17_18,MD,MD_17,19120oB_26,24_neg,24_pos
MD_17_19,MD,MD_17,19120oB_28,26_neg,26_pos
MD_17_20,MD,MD_17,19120oB_46,44_neg,44_pos
MD_18_21,MD,MD_18,19120oB_49,47_neg,47_pos
MD_18_22,MD,MD_18,,67_neg,67_pos
MD_18_23,MD,MD_18,19120oB_10,8_neg,8_pos
MW_1_24,MW,MW_1,19120oB_25,23_neg,23_pos
MW_1_25,MW,MW_1,19120oB_5,3_neg,3_pos
MW_1_26,MW,MW_1,19120oB_37,35_neg,35_pos
MW_1_27,MW,MW_1,19120oB_42,40_neg,40_pos
MW_10_28,MW,MW_10,19120oB_31,29_neg,29_pos
MW_10_29,MW,MW_10,19120oB_51,49_neg,49_pos
MW_10_30,MW,MW_10,,58_neg,58_pos
MW_2_31,MW,MW_2,19120oB_24,22_neg,22_pos
MW_2_32,MW,MW_2,19120oB_32,30_neg,30_pos
MW_2_33,MW,MW_2,19120oB_53,51_neg,51_pos
MW_3_34,MW,MW_3,19120oB_35,33_neg,33_pos
MW_3_35,MW,MW_3,19120oB_36,34_neg,34_pos
MW_3_36,MW,MW_3,19120oB_50,48_neg,48_pos
MW_3_37,MW,MW_3,19120oB_54,52_neg,52_pos
MW_5_38,MW,MW_5,19120oB_29,27_neg,27_pos
MW_5_39,MW,MW_5,19120oB_34,32_neg,32_pos
MW_5_40,MW,MW_5,19120oB_38,36_neg,36_pos
MW_6_41,MW,MW_6,19120oB_12,10_neg,10_pos
MW_6_42,MW,MW_6,19120oB_16,14_neg,14_pos
MW_6_43,MW,MW_6,19120oB_23,21_neg,21_pos
MW_6_44,MW,MW_6,19120oB_33,31_neg,31_pos
MW_7_45,MW,MW_7,19120oB_7,5_neg,5_pos
MW_7_46,MW,MW_7,19120oB_55,53_neg,53_pos
MW_7_47,MW,MW_7,,55_neg,55_pos
MW_8_48,MW,MW_8,19120oB_6,4_neg,4_pos
MW_8_49,MW,MW_8,,56_neg,56_pos
MW_8_50,MW,MW_8,,57_neg,57_pos
MW_9_51,MW,MW_9,19120oB_40,38_neg,38_pos
MW_9_52,MW,MW_9,19120oB_47,45_neg,45_pos
MW_9_53,MW,MW_9,19120oB_48,46_neg,46_pos
QC_62,,QC,19120oB_17,15_neg,15_pos
QC_63,,QC,19120oB_4,2_neg,2_pos
QC_64,,QC,19120oB_30,28_neg,28_pos
QC_65,,QC,19120oB_43,41_neg,41_pos
QC_66,,QC,19120oB_56,54_neg,54_pos
Blank_68,,Blank,19120oB_3,1_neg,1_pos
Blank_69,,Blank,19120oB_57,68_neg,68_pos
AC_70,,AC,19120oB_1,,
